Run	Fitness1	Solution1	Fitness2	Solution2
2	0.0000000000002236	[-0.00000027887546062,0.00000012878876092,0.00000035948379298]	0.0000000000009533	[0.00000002126045157,0.00000097472961974,-0.00000005259582476]
2	0.0000000000009533	[0.00000002126045157,0.00000097472961974,-0.00000005259582476]	0.0000000000002294	[0.00000022871344201,-0.00000007264542453,0.00000041455437935]
2	0.0000000000002294	[0.00000022871344201,-0.00000007264542453,0.00000041455437935]	0.0000000000004080	[-0.00000020495943183,0.00000022599920478,-0.00000056121204257]
2	0.0000000000004080	[-0.00000020495943183,0.00000022599920478,-0.00000056121204257]	0.0000000000001421	[-0.00000003128912286,0.00000037460295013,-0.00000002860440883]
2	0.0000000000001421	[-0.00000003128912286,0.00000037460295013,-0.00000002860440883]	0.0000000000010706	[0.00000078462405247,-0.00000012168809678,0.00000066341363521]
2	0.0000000000010706	[0.00000078462405247,-0.00000012168809678,0.00000066341363521]	0.0000000000006181	[0.00000025957979134,0.00000041772053777,-0.00000061335726768]
3	0.0000000000004718	[-0.00000016885085561,0.00000055533426905,-0.00000036734117828]	0.0000000000006526	[0.00000076331327358,-0.00000010643305563,-0.00000024220539731]
3	0.0000000000006526	[0.00000076331327358,-0.00000010643305563,-0.00000024220539731]	0.0000000000006342	[0.00000031827364593,-0.00000071618618347,0.00000014138094802]
3	0.0000000000006342	[0.00000031827364593,-0.00000071618618347,0.00000014138094802]	0.0000000000001560	[0.00000030404787655,0.00000022219457620,0.00000011908541472]
3	0.0000000000001560	[0.00000030404787655,0.00000022219457620,0.00000011908541472]	0.0000000000006245	[-0.00000030642575342,-0.00000060711526767,0.00000040253075662]
3	0.0000000000006245	[-0.00000030642575342,-0.00000060711526767,0.00000040253075662]	0.0000000000004732	[0.00000057858814824,-0.00000035494220078,-0.00000011152262039]
3	0.0000000000004732	[0.00000057858814824,-0.00000035494220078,-0.00000011152262039]	0.0000000000009486	[0.00000014882273853,-0.00000026453453503,0.00000092543555524]
3	0.0000000000009486	[0.00000014882273853,-0.00000026453453503,0.00000092543555524]	0.0000000000000505	[0.00000000510198594,-0.00000018028807818,0.00000013402031489]
3	0.0000000000000505	[0.00000000510198594,-0.00000018028807818,0.00000013402031489]	0.0000000000003783	[-0.00000026804647946,0.00000043450537131,0.00000034305473760]
3	0.0000000000003783	[-0.00000026804647946,0.00000043450537131,0.00000034305473760]	0.0000000000009055	[0.00000015125660726,-0.00000093545909149,0.00000008688911894]
3	0.0000000000009055	[0.00000015125660726,-0.00000093545909149,0.00000008688911894]	0.0000000000000442	[0.00000007322186925,-0.00000008988237158,0.00000017525484571]
4	0.0000000000000834	[-0.00000016431847095,0.00000019917434989,-0.00000012922541777]	0.0000000000003327	[-0.00000053984023630,-0.00000017859809197,-0.00000009669115131]
4	0.0000000000003327	[-0.00000053984023630,-0.00000017859809197,-0.00000009669115131]	0.0000000000001675	[0.00000023315142737,0.00000019578302637,0.00000027358558566]
4	0.0000000000001675	[0.00000023315142737,0.00000019578302637,0.00000027358558566]	0.0000000000000860	[0.00000006075515020,-0.00000000581357227,-0.00000028682092972]
4	0.0000000000000860	[0.00000006075515020,-0.00000000581357227,-0.00000028682092972]	0.0000000000001370	[0.00000025115885502,0.00000016636465767,0.00000021499740147]
4	0.0000000000001370	[0.00000025115885502,0.00000016636465767,0.00000021499740147]	0.0000000000002655	[0.00000039122055502,0.00000020661328205,-0.00000026403206556]
4	0.0000000000002655	[0.00000039122055502,0.00000020661328205,-0.00000026403206556]	0.0000000000002444	[-0.00000029559068411,0.00000033486655428,-0.00000021178992603]
4	0.0000000000002444	[-0.00000029559068411,0.00000033486655428,-0.00000021178992603]	0.0000000000001461	[-0.00000030121748564,-0.00000021558078733,-0.00000009424000430]
4	0.0000000000001461	[-0.00000030121748564,-0.00000021558078733,-0.00000009424000430]	0.0000000000000425	[0.00000000762407020,-0.00000018616241864,0.00000008812778498]
4	0.0000000000000425	[0.00000000762407020,-0.00000018616241864,0.00000008812778498]	0.0000000000002290	[-0.00000047000679401,-0.00000005235389951,-0.00000007282227498]
4	0.0000000000002290	[-0.00000047000679401,-0.00000005235389951,-0.00000007282227498]	0.0000000000000964	[-0.00000019004336761,0.00000024120059089,-0.00000004552801178]
5	0.0000007724241910	[0.00003948166365795,0.00080605879794626,0.00034804396779261]	0.0000021182020939	[-0.00115124039697158,-0.00048073066576765,0.00074949694412576]
5	0.0000021182020939	[-0.00115124039697158,-0.00048073066576765,0.00074949694412576]	0.0000007729277669	[-0.00029962262319838,-0.00015947054977603,0.00081100135283751]
5	0.0000007729277669	[-0.00029962262319838,-0.00015947054977603,0.00081100135283751]	0.0000011730159235	[0.00021095532030740,0.00056617652606492,0.00089886479385429]
5	0.0000011730159235	[0.00021095532030740,0.00056617652606492,0.00089886479385429]	0.0000006069624249	[-0.00054458498984047,0.00055660408424854,0.00002411445846368]
5	0.0000006069624249	[-0.00054458498984047,0.00055660408424854,0.00002411445846368]	0.0000004481501416	[0.00031763404503415,-0.00040097974053238,0.00043182635715073]
5	0.0000004481501416	[0.00031763404503415,-0.00040097974053238,0.00043182635715073]	0.0000011002284909	[0.00010922403425050,0.00010662723998993,0.00103775200936776]
5	0.0000011002284909	[0.00010922403425050,0.00010662723998993,0.00103775200936776]	0.0000004955603172	[0.00014190262779014,-0.00002059163606203,0.00068920239839878]
5	0.0000004955603172	[0.00014190262779014,-0.00002059163606203,0.00068920239839878]	0.0000005788231912	[0.00003948166365795,0.00067537381197833,0.00034804396779261]
5	0.0000005788231912	[0.00003948166365795,0.00067537381197833,0.00034804396779261]	0.0000002820890832	[-0.00044593828624438,0.00027387488966481,0.00009066792654456]
5	0.0000002820890832	[-0.00044593828624438,0.00027387488966481,0.00009066792654456]	0.0000007482379636	[-0.00029962262319838,0.00002722228732102,0.00081100135283751]
6	0.0000000000230746	[-0.00000048954272299,0.00000186674719217,0.00000439889046117]	0.0000000000190196	[-0.00000090446375866,-0.00000333478542005,-0.00000266097144300]
6	0.0000000000190196	[-0.00000090446375866,-0.00000333478542005,-0.00000266097144300]	0.0000000000282293	[-0.00000147427850104,0.00000489040364421,-0.00000146279176873]
6	0.0000000000282293	[-0.00000147427850104,0.00000489040364421,-0.00000146279176873]	0.0000000000299250	[0.00000101344281169,0.00000531095069242,0.00000083172172835]
6	0.0000000000299250	[0.00000101344281169,0.00000531095069242,0.00000083172172835]	0.0000000000301005	[-0.00000108521414015,0.00000047689405314,0.00000535681051228]
6	0.0000000000301005	[-0.00000108521414015,0.00000047689405314,0.00000535681051228]	0.0000000000257569	[0.00000128578786432,-0.00000475480146246,-0.00000122290188757]
6	0.0000000000257569	[0.00000128578786432,-0.00000475480146246,-0.00000122290188757]	0.0000000000395216	[-0.00000035699469245,-0.00000278243527094,-0.00000562602897586]
6	0.0000000000395216	[-0.00000035699469245,-0.00000278243527094,-0.00000562602897586]	0.0000000000159787	[-0.00000266899243616,-0.00000285255347646,-0.00000084739098935]
6	0.0000000000159787	[-0.00000266899243616,-0.00000285255347646,-0.00000084739098935]	0.0000000000342930	[0.00000056459610763,0.00000004905422744,-0.00000582853359175]
6	0.0000000000342930	[0.00000056459610763,0.00000004905422744,-0.00000582853359175]	0.0000000000029512	[-0.00000030311547413,0.00000126596569473,0.00000112101403677]
6	0.0000000000029512	[-0.00000030311547413,0.00000126596569473,0.00000112101403677]	0.0000000000049494	[0.00000183851745229,-0.00000019227341382,-0.00000123784776805]
7	0.0000000000002633	[-0.00000034535380979,0.00000034881076984,0.00000014961663487]	0.0000000000005787	[0.00000001956400727,0.00000033778171549,-0.00000068135898607]
7	0.0000000000005787	[0.00000001956400727,0.00000033778171549,-0.00000068135898607]	0.0000000000002743	[-0.00000044062276081,0.00000023669231338,-0.00000015529270466]
7	0.0000000000002743	[-0.00000044062276081,0.00000023669231338,-0.00000015529270466]	0.0000000000022890	[0.00000002450505315,0.00000139955775680,0.00000057415810098]
7	0.0000000000022890	[0.00000002450505315,0.00000139955775680,0.00000057415810098]	0.0000000000004065	[0.00000058194896985,0.00000010348197618,0.00000023904845318]
