Run	Fitness1	Solution1	Fitness2	Solution2
6	0.000000	[42.722785,48.292233,41.705948]	0.000000	[52.657939,49.940166,49.539973]
6	0.000000	[52.657939,49.940166,49.539973]	0.000000	[40.210906,49.717457,46.764194]
6	0.000000	[40.210906,49.717457,46.764194]	0.000000	[43.358830,49.908051,42.387935]
6	0.000000	[43.358830,49.908051,42.387935]	0.000000	[48.201789,46.889221,46.214032]
6	0.000000	[48.201789,46.889221,46.214032]	0.000000	[45.903595,47.453883,43.438946]
6	0.000000	[45.903595,47.453883,43.438946]	0.000000	[44.347021,42.839191,45.711111]
6	0.000000	[44.347021,42.839191,45.711111]	0.000000	[43.331774,48.242619,46.630226]
6	0.000000	[43.331774,48.242619,46.630226]	0.000000	[45.255223,46.346148,45.543767]
6	0.000000	[45.255223,46.346148,45.543767]	0.000000	[46.754577,50.858626,51.355831]
6	0.000000	[46.754577,50.858626,51.355831]	0.000000	[45.955201,43.808572,48.801169]
6	0.000000	[45.955201,43.808572,48.801169]	0.000000	[45.166103,45.410156,48.274476]
6	0.000000	[45.166103,45.410156,48.274476]	0.000000	[48.161529,44.569811,49.379802]
6	0.000000	[48.161529,44.569811,49.379802]	0.000000	[48.714995,47.111049,44.984985]
6	0.000000	[48.714995,47.111049,44.984985]	0.000000	[48.890115,44.972346,46.044633]
6	0.000000	[48.890115,44.972346,46.044633]	0.000000	[47.004748,47.803336,52.869613]
6	0.000000	[47.004748,47.803336,52.869613]	0.000000	[53.204462,49.917990,49.832312]
6	0.000000	[53.204462,49.917990,49.832312]	0.000000	[49.814391,52.031171,47.154044]
6	0.000000	[49.814391,52.031171,47.154044]	0.000000	[44.601684,47.628697,49.186477]
6	0.000000	[44.601684,47.628697,49.186477]	0.000000	[51.527888,45.804309,47.761133]
7	0.000000	[45.319647,45.766672,46.431869]	0.000000	[47.775578,46.131544,47.814646]
7	0.000000	[47.775578,46.131544,47.814646]	0.000000	[45.688076,46.248219,46.434807]
7	0.000000	[45.688076,46.248219,46.434807]	0.000000	[45.211094,44.418852,47.498820]
7	0.000000	[45.211094,44.418852,47.498820]	0.000000	[46.374743,48.777792,46.224154]
7	0.000000	[46.374743,48.777792,46.224154]	0.000000	[45.288209,45.715123,47.560685]
7	0.000000	[45.288209,45.715123,47.560685]	0.000000	[45.016916,45.134404,46.621741]
7	0.000000	[45.016916,45.134404,46.621741]	0.000000	[47.498189,46.811145,47.518905]
7	0.000000	[47.498189,46.811145,47.518905]	0.000000	[46.714236,47.655942,46.077224]
7	0.000000	[46.714236,47.655942,46.077224]	0.000000	[45.355001,48.045353,47.358614]
7	0.000000	[45.355001,48.045353,47.358614]	0.000000	[46.642273,49.097115,44.353186]
7	0.000000	[46.642273,49.097115,44.353186]	0.000000	[48.388443,47.250066,47.069082]
7	0.000000	[48.388443,47.250066,47.069082]	0.000000	[48.731975,47.315301,46.849749]
7	0.000000	[48.731975,47.315301,46.849749]	0.000000	[46.557292,48.157439,45.887550]
7	0.000000	[46.557292,48.157439,45.887550]	0.000000	[48.359197,45.262728,46.858404]
7	0.000000	[48.359197,45.262728,46.858404]	0.000000	[47.220792,47.833363,46.265935]
7	0.000000	[47.220792,47.833363,46.265935]	0.000000	[46.669291,46.994656,45.679297]
7	0.000000	[46.669291,46.994656,45.679297]	0.000000	[47.501963,49.527326,47.793321]
7	0.000000	[47.501963,49.527326,47.793321]	0.000000	[47.574176,47.754619,46.772039]
7	0.000000	[47.574176,47.754619,46.772039]	0.000000	[48.197354,48.061864,46.457164]
7	0.000000	[48.197354,48.061864,46.457164]	0.000000	[46.612341,46.852334,47.390298]
8	0.000000	[61.236102,28.560080,77.251793]	0.000000	[24.712271,40.060620,50.759146]
8	0.000000	[24.712271,40.060620,50.759146]	0.000000	[87.327333,62.851623,20.810963]
8	0.000000	[87.327333,62.851623,20.810963]	0.000000	[62.216257,33.947744,38.965767]
8	0.000000	[62.216257,33.947744,38.965767]	0.000000	[2.585074,72.812691,40.446137]
8	0.000000	[2.585074,72.812691,40.446137]	0.000000	[18.255832,54.378002,37.481028]
8	0.000000	[18.255832,54.378002,37.481028]	0.000000	[18.527617,15.191798,44.071463]
8	0.000000	[18.527617,15.191798,44.071463]	0.000000	[47.791625,33.703668,28.104814]
8	0.000000	[47.791625,33.703668,28.104814]	0.000000	[13.011849,39.486158,35.878333]
